CDATE,DATASET,DESCRIPTION,FIELDS,GROUP_ID,ID,MDATE,NAME,PARTITION_RANGE,SCOPE,SHARE,USERID,CONNECTOR_ID,REFERENCED_ID
20201113144742,"{""format"": ""objectstorage"", ""file_type"": ""excel"", ""path"": ""\""/studio_data/2014-2020\ud574\uc678\uc9c1\uad6c.xlsx\"""", ""option"": {""sep"": "","", ""sheet_name"": ""\ud488\ubaa9\ubcc4\uc9c1\uad6c"", ""cells"": """"}}",,"[{""name"": ""\uae30\uac04"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\ud569\uacc4"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\ucef4\ud4e8\ud130 \ubc0f \uc8fc\ubcc0\uae30\uae30"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\uac00\uc804\u00b7\uc804\uc790\u00b7\ud1b5\uc2e0\uae30\uae30"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\uc18c\ud504\ud2b8\uc6e8\uc5b4"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\uc11c \uc801"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\uc0ac\ubb34\u00b7\ubb38\uad6c"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\uc74c\ubc18\u00b7\ube44\ub514\uc624\u00b7\uc545\uae30"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\uc758\ub958 \ubc0f \ud328\uc158\uad00\ub828 \uc0c1\ud488"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\uc2a4\ud3ec\uce20\u00b7\ub808\uc800\uc6a9\ud488"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\ud654\uc7a5\ud488"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\uc544\ub3d9\u00b7\uc720\uc544\uc6a9\ud488"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\uc74c\u00b7\uc2dd\ub8cc\ud488"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\ub18d\ucd95\uc218\uc0b0\ubb3c"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\uc0dd\ud65c\uc6a9\ud488 \ubc0f \uc790\ub3d9\ucc28\uc6a9\ud488"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\uae30 \ud0c0"", ""type"": ""TEXT"", ""alias"": """"}]",62b3fa2f-f3f5-4f88-a6de-dfef48c5c37a,001cec7f-866b-4630-83a2-352efe9c7362,20201113144742,항공_직구품목별,,,all,iris,1,
20201125153716,"{""format"": ""objectstorage"", ""file_type"": ""csv"", ""path"": ""\""/studio_data/KOR_SOUTH_SIGUNGU.csv\"""", ""option"": {""sep"": ""|"", ""sep_type"": ""custom"", ""sheet_name"": """", ""cells"": """"}}","대한민국 최신 행정구역 안전행정부 새주소 데이터 행정구역도
http://www.gisdeveloper.co.kr/?p=2332
http://data.nsdi.go.kr/dataset/14783","[{""name"": ""gid"", ""type"": ""INTEGER"", ""alias"": """"}, {""name"": ""sig_cd"", ""type"": ""INTEGER"", ""alias"": """"}, {""name"": ""sig_eng_nm"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""sig_kor_nm"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""geojson"", ""type"": ""TEXT"", ""alias"": """"}]",,0064bbeb-fd79-4724-b929-d7763c36244c,20201125165513,KORMAP_SOUTH_SIGUNGU,,,all,iris,1,
20201020141308,"{""format"": ""objectstorage"", ""file_type"": ""csv"", ""path"": ""\""/studio_data/\ucc28\uc885\ubcc4_\uc0ac\uace0\ub300\ube44\uc0ac\ub9dd\uc790_\uc6d0\ubcf8\uc9c0\ud45c.csv\"""", ""option"": {""sep"": "","", ""sheet_name"": """", ""cells"": """"}}",,"[{""name"": ""\ucc28\uc885"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\uc0ac\uace0\uac74\uc218\ub300\ube44\uc0ac\ub9dd\uc790"", ""type"": ""REAL"", ""alias"": """"}]",62b3fa2f-f3f5-4f88-a6de-dfef48c5c37a,007aca42-c60c-4511-bfe7-6cdfd4fd23df,20201020141308,차종별 사고대비 사망자 내림차순,,,all,iris,1,
20201019135020,"{""format"": ""objectstorage"", ""file_type"": ""csv"", ""path"": ""\""/studio_data/\uc804\uad6d \ud1a0\uc9c0\uc774\uc6a9 \ud604\ud669.csv\"""", ""option"": {""sep"": "","", ""sheet_name"": """", ""cells"": """"}}",,"[{""name"": ""\ub144\ub3c4"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\uc804"", ""type"": ""REAL"", ""alias"": """"}, {""name"": ""\ub2f5"", ""type"": ""REAL"", ""alias"": """"}, {""name"": ""\ub300\uc9c0"", ""type"": ""REAL"", ""alias"": """"}, {""name"": ""\ub3c4\ub85c"", ""type"": ""REAL"", ""alias"": """"}]",62b3fa2f-f3f5-4f88-a6de-dfef48c5c37a,0107d717-619c-474c-9612-a471dd1d5565,20201019135020,전국 토지이용 현황_찐,,,all,iris,1,
20201021090557,"{""format"": ""objectstorage"", ""file_type"": ""excel"", ""path"": ""\""/studio_data/\ud654\ubb3c\uc720\uc988\ucf00\uc774\uc2a4_\uc2dc\uba58\ud2b8 \uc218\uc1a1\uc218\ub2e8\ubcc4 \ubd84\ub2f4\ub960.xlsx\"""", ""option"": {""sep"": "","", ""sep_type"": ""custom"", ""sheet_name"": """", ""cells"": """"}}",,"[{""name"": ""\uc5f0\ub3c4"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\ucca0\ub3c4"", ""type"": ""REAL"", ""alias"": """"}, {""name"": ""\uc721\uc1a1"", ""type"": ""REAL"", ""alias"": """"}, {""name"": ""\ud574\uc1a1"", ""type"": ""REAL"", ""alias"": """"}, {""name"": ""\ud569\uacc4"", ""type"": ""REAL"", ""alias"": """"}]",62b3fa2f-f3f5-4f88-a6de-dfef48c5c37a,0110cbd7-d066-49ee-b3f3-c65475ebf80c,20201209105917,화물유즈케이스_시멘트 수송수단별 분담률,,,all,iris,1,
20201022143129,"{""format"": ""objectstorage"", ""file_type"": ""csv"", ""path"": ""\""/studio_data/\uace0\uce35 \uc800\uce35 \ud604\ud669_\ud569\uce68_3\uce35\uae4c\uc9c0_\uc11c\uc6b8.csv\"""", ""option"": {""sep"": "","", ""sheet_name"": """", ""cells"": """"}}",,"[{""name"": ""_c0"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\uc800\uce35"", ""type"": ""BIGINT"", ""alias"": """"}, {""name"": ""\uace0\uce35"", ""type"": ""BIGINT"", ""alias"": """"}]",62b3fa2f-f3f5-4f88-a6de-dfef48c5c37a,01920414-2507-4108-8802-8965433d6dc2,20201022143129,유즈케이스_층수합침_3층까지_서울,,,all,iris,1,
20201022143444,"{""format"": ""objectstorage"", ""file_type"": ""csv"", ""path"": ""\""/studio_data/\uace0\uce35 \uc800\uce35 \ud604\ud669_\ud569\uce68_3\uce35\uae4c\uc9c0_\ub300\uad6c.csv\"""", ""option"": {""sep"": "","", ""sheet_name"": """", ""cells"": """"}}",,"[{""name"": ""_c0"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\uc800\uce35"", ""type"": ""BIGINT"", ""alias"": """"}, {""name"": ""\uace0\uce35"", ""type"": ""BIGINT"", ""alias"": """"}]",62b3fa2f-f3f5-4f88-a6de-dfef48c5c37a,028b1ab5-17cd-47ac-900b-15eeca938545,20201022143444,유즈케이스_층수합침_3층까지_대구,,,all,iris,1,
20201126150911,"{""format"": ""objectstorage"", ""file_type"": ""csv"", ""path"": ""\""/studio_data/\ubc95\uc778_\ucf64\ubcf4\ubc15\uc2a4.csv\"""", ""option"": {""sep"": "","", ""sep_type"": ""custom"", ""sheet_name"": """", ""cells"": """"}}",,"[{""name"": ""\ubd84\uc704\uad6c\ubd84"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\ubd84\uc704"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\ucd1d\uc18c\uc720\uba74\uc801"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\ud3c9\uade0\uc18c\uc720\uba74\uc801"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\ucd1d\uc18c\uc720\uac00\uc561"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\ud3c9\uade0\uc18c\uc720\uac00\uc561"", ""type"": ""TEXT"", ""alias"": """"}]",62b3fa2f-f3f5-4f88-a6de-dfef48c5c37a,029c8bfe-a73e-499f-9e19-bcbc112fa274,20201126150911,토지_법인_콤보박스_할거다,,,all,iris,1,
20201022142700,"{""format"": ""objectstorage"", ""file_type"": ""csv"", ""path"": ""\""/studio_data/\uc9c0\uac00\ubcc0\ub3d9\ub960_\uad11\uc8fc.csv\"""", ""option"": {""sep"": "","", ""sheet_name"": """", ""cells"": """"}}",,"[{""name"": ""\uc9c0\uc5ed"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\ubcc0\ub3d9\ub960"", ""type"": ""TEXT"", ""alias"": """"}]",62b3fa2f-f3f5-4f88-a6de-dfef48c5c37a,02a9a13e-b7fd-4565-af26-853f07e48773,20201022142700,land_gwang,,,all,iris,1,
20201204163352,"{""format"": ""objectstorage"", ""file_type"": ""excel"", ""path"": ""\""/studio_data/2010-2019 \uc6a9\ub3c4\ubcc4 \ucf64\ubcf4\ubc15\uc2a4.xlsx\"""", ""option"": {""sep"": "","", ""sep_type"": ""custom"", ""sheet_name"": """", ""cells"": """"}}",,"[{""name"": ""\uad6c\ubd84"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\uc5f0\ub3c4"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\uc6a9\ub3c4"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\uc5f0\uba74\uc801"", ""type"": ""TEXT"", ""alias"": """"}, {""name"": ""\uc804\ub144\ub300\ube44\uc99d\uac10\ub960"", ""type"": ""TEXT"", ""alias"": """"}]",62b3fa2f-f3f5-4f88-a6de-dfef48c5c37a,04c3306d-e844-4bbe-8f37-1d9d2372587a,20201209140409,건축현황_연면적기준_2010-2019용도별,,,all,iris,1,
